sku,category_id
52160598,99906
52160600,99903
52160617,99903
52122030,106937
52178482,91596
52160669,99903
52160681,99906
52160773,99906
52160788,99906
52122151,86791
52122168,93394
52122168,86791
52122174,86791
52169406,88138
52169406,87811
52178332,91596
52178361,91596
52160957,99903
52161046,99903
52123228,93394
52127566,109595
52169470,88921
52169487,89017
52178902,91596
52178948,92465
52178954,92465
52161188,99906
52161207,99903
52161766,99906
52171126,88549
52171126,92405
52178568,91596
52178574,91596
52178608,92465
52178614,91596
52103108,95939
52103116,00000
52103122,95939
52103139,95939
52141220,109562
52141272,107621
52142386,107774
52146261,93109
52146595,86980
52077273,87865
52094338,91707
52094338,91431
52094344,91707
52094350,91707
52094373,91431
52077964,91725
52077970,91725
52078024,91725
52071360,87865
52071383,91725
52086377,91434
52086400,91434
52094428,91434
52071588,91716
52086438,00000
52086803,00000
52095389,91710
52078237,91725
52071728,91440
52071734,91440
52071740,91440
52072376,91440
52086930,91707
52096181,106928
52096288,93023
52078404,87865
52072514,87865
52072566,87865
52086947,91431
52086953,91707
52087163,91710
52096328,93023
52078433,87865
52078456,91725
52078479,91725
52078502,87865
52078519,91725
52073749,91710
52073908,95939
52073916,00000
52087558,95939
52088488,91440
52100350,91725
52100367,87865
52100388,87865
52100396,87865
52101168,107846
52079893,91725
52073945,95939
52073997,87865
52074011,87865
52088507,91440
52088513,91440
52102221,77009
52102250,93023
52102342,77003
52079956,91725
52080084,91725
52080084,87865
52074034,91725
52074034,87865
52074040,91725
52074852,87865
52074869,91725
52097364,92321
52080147,91725
52080168,91725
52083789,91707
52074915,87865
52089604,91707
52089610,91707
52102987,00000
52083835,91707
52083991,91710
52075131,91725
52075200,87865
52097197,92339
52097208,92537
52084016,91434
52084097,91707
52084097,91431
52089869,91434
52089881,91710
52097721,88894
52084673,00000
52084688,95939
52084696,00000
52085712,91431
52085729,91707
52076176,91725
52076280,87865
52089996,95939
52103053,95939
52086043,91434
52086058,91710
52076435,87865
52090400,88585
52090400,91144
52097266,92537
52097295,92534
52086106,91710
52086325,91434
52086331,91710
52086331,91434
52076510,91725
52070096,91440
52070188,91716
52076579,91725
52076585,91725
52091791,106913
52092718,88516
52092749,92360
52077866,87865
52070194,91716
52070228,91716
52071043,91725
52071043,87865
52076936,91725
52076971,91725
52076994,91725
52077002,87865
52094004,91431
52077912,91725
52071072,87865
52077198,91725
52255736,91198
52255742,93453
52340497,87865
52256672,93355
52258186,89041
52258186,93322
52288188,89041
52288196,89041
52288213,89344
52341876,91725
52261014,107948
52261014,107660
52261020,107948
52248083,00000
52248098,95927
52248100,95927
52302779,107543
52302969,88912
52305684,00000
52341916,87865
52341939,91725
52265344,91458
52265373,91458
52248146,95927
52248797,88510
52342541,91725
52342541,87865
52342564,87865
52342570,87865
52344003,93139
52265407,91458
52312433,88231
52312456,88465
52355065,92537
52355399,88645
52355408,88645
52265972,103205
52251003,91458
52313991,93208
52314045,106937
52371961,88465
52371961,92261
52265989,88234
